ISSN,"Abbreviated Journal Title",Rank,Field,Status
0718-0764,Informacion Tecnologica,B3,ENGENHARIAS I,Atualizado
0718-0764,Informacion Tecnologica,B3,INTERDISCIPLINAR,Atualizado
0716-8756,Información Tecnológica (Impresa),B3,ENGENHARIAS I,Atualizado
0716-8756,Información Tecnológica (Impresa),B3,ENGENHARIAS II,Atualizado
0716-8756,Información Tecnológica (Impresa),B3,ENGENHARIAS IV,Atualizado
0100-4409,Informações Econômicas (Impresso),B3,INTERDISCIPLINAR,Atualizado
1678-832X,Informações Econômicas (Online),B3,INTERDISCIPLINAR,Atualizado
0350-5596,Informatica (Ljubljana),B3,ENGENHARIAS IV,Atualizado
1753-8165,Informatics for Health and Social Care (Online),B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1648-5831,Informatics in Education,B3,ENGENHARIAS IV,Atualizado
1648-5831,Informatics in Education,B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
0268-1102,Information Technology for Development,B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1641-8581,Informatyka W Technologii Materialów,B3,ENGENHARIAS II,Atualizado
1517-6258,Informe Econômico (UFPI),B3,INTERDISCIPLINAR,Atualizado
0718-3305,Ingeniare. Revista Chilena de Ingeniería (En línea),B3,ENGENHARIAS IV,Atualizado
0718-3291,Ingeniare. Revista Chilena de Ingeniería (Impresa),B3,ENGENHARIAS IV,Atualizado
1134-2196,Ingeniería del Agua,B3,ENGENHARIAS I,Atualizado
0120-5609,Ingenieria e Investigacion,B3,ENGENHARIAS III,Atualizado
1815-5944,Ingenieria Mecanica (Online),B3,ENGENHARIAS III,Atualizado
0210-2064,Ingeniería Química (Madrid),B3,ENGENHARIAS II,Atualizado
0210-2064,Ingeniería Química (Madrid),B3,INTERDISCIPLINAR,Atualizado
0716-6311,Innovación (Antofagasta. Impresa),B3,ENGENHARIAS II,Atualizado
1614-5054,Innovations in Systems and Software Engineering (Internet),B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1614-5046,Innovations in Systems and Software Engineering (Print),B3,INTERDISCIPLINAR,Atualizado
1614-5046,Innovations in Systems and Software Engineering (Print),B3,ENGENHARIAS III,Atualizado
1614-5046,Innovations in Systems and Software Engineering (Print),B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1614-5046,Innovations in Systems and Software Engineering (Print),B3,ENGENHARIAS IV,Atualizado
1945-5224,Institute of Conservation. Journal,B3,INTERDISCIPLINAR,Atualizado
1755-0777,Institution of Civil Engineers. Proceedings. Engineering and Computational Mechanics,B3,ENGENHARIAS I,Atualizado
0101-9554,Ínsula (Florianópolis),B3,INTERDISCIPLINAR,Atualizado
1551-3793,Integrated Environmental Assessment and Management (Online),B3,INTERDISCIPLINAR,Atualizado
1137-3601,Inteligencia Artificial,B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1079-8587,Intelligent Automation and Soft Computing,B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1868-4394,Intelligent Systems Reference Library,B3,ENGENHARIAS III,Atualizado
1517-4654,Interação (Campina Grande),B3,INTERDISCIPLINAR,Atualizado
1983-2478,Interações: Cultura e Comunidade (Uberlândia. Online),B3,INTERDISCIPLINAR,Atualizado
1518-7012,Interações (UCDB),B3,ENGENHARIAS I,Atualizado
1741-5659,Interactive Technology and Smart Education,B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1519-8847,Interagir (UERJ),B3,INTERDISCIPLINAR,Atualizado
0020-5214,Interceram,B3,ENGENHARIAS II,Atualizado
2046-7141,Interdisciplinary Journal of Research in Business,B3,INTERDISCIPLINAR,Atualizado
1413-0963,Intermeio (UFMS),B3,INTERDISCIPLINAR,Atualizado
1083-0898,International Advances in Economic Research,B3,ENGENHARIAS IV,Atualizado
1755-7682,International Archives of Medicine,B3,ENGENHARIAS IV,Atualizado
0074-1884,International Atomic Energy Agency. Proceedings Series,B3,ENGENHARIAS II,Atualizado
1913-9012,International Business Research,B3,ENGENHARIAS III,Atualizado
1749-5148,International Heat Treatment and Surface Engineering (Print),B3,ENGENHARIAS II,Atualizado
0268-3768,"International Journal, Advanced Manufacturing Technology",B3,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
1550-2287,International Journal for Computational Methods in Engineering Science and Mechanics,B3,ENGENHARIAS II,Atualizado
2040-7947,International Journal for Numerical Methods in Biomedical Engineering (Online),B3,INTERDISCIPLINAR,Atualizado
0905-6866,International Journal for the Joining of Materials,B3,ENGENHARIAS III,Atualizado
2152-5099,International Journal for Uncertainty Quantifications (Online),B3,ENGENHARIAS I,Atualizado
2152-5080,International Journal for Uncertainty Quantifications (Print),B3,ENGENHARIAS I,Atualizado
2075-4124,INTERNATIONAL JOURNAL Of ACADEMIC RESEARCH,B3,ENGENHARIAS III,Atualizado
1740-8008,"International Journal of Accounting, Auditing and Performance Evaluation (Print)",B3,ENGENHARIAS III,Atualizado
1433-3015,International Journal of Advanced Manufacturing Technology (Internet),B3,ENGENHARIAS IV,Atualizado
1462-4613,International Journal of Advanced Media and Communication,B3,ENGENHARIAS IV,Atualizado
1462-4613,International Journal of Advanced Media and Communication,B3,INTERDISCIPLINAR,Atualizado
1741-8003,International Journal of Advanced Media and Communication (Online),B3,ENGENHARIAS IV,Atualizado
2008-6695,International Journal of Advanced Structural Engineering,B3,ENGENHARIAS I,Atualizado
1746-1375,International Journal of Agent-Oriented Software Engineering (Print),B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1746-1375,International Journal of Agent-Oriented Software Engineering (Print),B3,INTERDISCIPLINAR,Atualizado
2010-1325,International Journal of Air-Conditioning and Refrigeration,B3,ENGENHARIAS III,Atualizado
1687-8779,International Journal of Analytical Chemistry,B3,ENGENHARIAS I,Atualizado
1383-5416,International Journal of Applied Electromagnetics and Mechanics,B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1311-1728,International Journal of Applied Mathematics,B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1734-4492,International Journal of Applied Mechanics and Engineering,B3,ENGENHARIAS I,Atualizado
1478-0771,International Journal of Architectural Computing,B3,ENGENHARIAS I,Atualizado
1744-5493,International Journal of Bioinformatics Research and Applications (Online),B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1744-5493,International Journal of Bioinformatics Research and Applications (Online),B3,ENGENHARIAS IV,Atualizado
1744-5485,International Journal of Bioinformatics Research and Applications (Print),B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1687-8787,International Journal of Biomaterials,B3,ENGENHARIAS II,Atualizado
1309-8047,International Journal of Business and Management Studies (IJBM),B3,ENGENHARIAS III,Atualizado
2249-9962,International Journal of Business and Management Tomorrow,B3,ENGENHARIAS III,Atualizado
1758-2164,International Journal of Business Continuity and Risk Management,B3,ENGENHARIAS I,Atualizado
1548-0631,International Journal of Business Data Communications and Networking,B3,INTERDISCIPLINAR,Atualizado
1743-8187,International Journal of Business Intelligence and Data Mining,B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1368-4892,International Journal of Business Performance Management,B3,ENGENHARIAS III,Atualizado
0974-5793,International Journal of Chemical Engineering,B3,ENGENHARIAS IV,Atualizado
1916-9698,International Journal of Chemistry,B3,ENGENHARIAS III,Atualizado
2227-2763,International journal of civil & Environmental Engineering,B3,ENGENHARIAS I,Atualizado
2077-1258,International Journal of Civil & Environmental Engineering,B3,ENGENHARIAS I,Atualizado
1756-8692,International Journal of Climate Change Strategies and Management,B3,INTERDISCIPLINAR,Atualizado
1557-3958,International Journal of Cognitive Informatics & Natural Intelligence,B3,ENGENHARIAS IV,Atualizado
1363-7681,International Journal of COMADEM,B3,ENGENHARIAS I,Atualizado
1099-1131,International Journal of Communication Systems (Online),B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1074-5351,International Journal of Communication Systems (Print),B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
2166-479X,International Journal of Composite Materials,B3,ENGENHARIAS I,Atualizado
1819-4966,International Journal of Computational and Applied Mathematics,B3,ENGENHARIAS I,Atualizado
1061-8562,International Journal of Computational Fluid Dynamics (Print),B3,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
1793-6969,International Journal of Computational Methods,B3,ENGENHARIAS I,Atualizado
1793-6969,International Journal of Computational Methods,B3,ENGENHARIAS IV,Atualizado
0975-8887,International Journal of Computer Applications,B3,ENGENHARIAS III,Atualizado
0952-8091,International Journal of Computer Applications in Technology,B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
0952-8091,International Journal of Computer Applications in Technology,B3,ENGENHARIAS IV,Atualizado
2150-7988,International Journal of Computer Information Systems and Industrial Management Applications,B3,ENGENHARIAS III,Atualizado
0020-7160,International Journal of Computer Mathematics,B3,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
1535-6698,International Journal of Computer Research,B3,ENGENHARIAS IV,Atualizado
1535-6698,International Journal of Computer Research,B3,INTERDISCIPLINAR,Atualizado
0972-9038,International Journal of Computer Science and Applications (Online),B3,ENGENHARIAS IV,Atualizado
1738-7906,International Journal of Computer Science and Network Security,B3,ENGENHARIAS I,Atualizado
1841-9836,"International Journal of Computers, Communications & Control (Print)",B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1560-4624,International Journal of Continuing Engineering Education and Life-Long Learning,B3,ENGENHARIAS III,Atualizado
1560-4624,International Journal of Continuing Engineering Education and Life-Long Learning,B3,ENGENHARIAS IV,Atualizado
1178-2005,International Journal of COPD,B3,ENGENHARIAS IV,Atualizado
1687-9325,International Journal of Corrosion,B3,ENGENHARIAS II,Atualizado
0142-5463,International Journal of Cosmetic Science (Print),B3,ENGENHARIAS II,Atualizado
1548-3924,International Journal of Data Warehousing and Mining,B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1687-8736,International Journal of Dentistry (Online),B3,INTERDISCIPLINAR,Atualizado
1621-4749,International Journal of Design and Innovation Research,B3,ENGENHARIAS II,Atualizado
1687-9643,International Journal of Differential Equations,B3,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
1539-3100,International Journal of Distance Education Technologies,B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1539-3100,International Journal of Distance Education Technologies,B3,ENGENHARIAS IV,Atualizado
1550-1477,International Journal of Distributed Sensor Networks (Online),B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1550-1477,International Journal of Distributed Sensor Networks (Online),B3,INTERDISCIPLINAR,Atualizado
2146-0744,International Journal of eBusiness and eGovernment Studies (IJEBEG),B3,ENGENHARIAS III,Atualizado
1548-1131,International Journal of e-Business Research,B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1548-1131,International Journal of e-Business Research,B3,INTERDISCIPLINAR,Atualizado
1756-9850,International Journal of Economics and Business Research,B3,ENGENHARIAS I,Atualizado
1470-6067,International Journal of Electronic Business (Print),B3,INTERDISCIPLINAR,Atualizado
1548-3886,International Journal of Electronic Government Research,B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1553-779X,International Journal of Emerging Electric Power Systems,B3,INTERDISCIPLINAR,Atualizado
2076-2895,International Journal of Energy and Environment (Print),B3,ENGENHARIAS I,Atualizado
1472-8923,International Journal of Energy Technology and Policy,B3,ENGENHARIAS III,Atualizado
1472-8923,International Journal of Energy Technology and Policy,B3,ENGENHARIAS IV,Atualizado
1472-8923,International Journal of Energy Technology and Policy,B3,INTERDISCIPLINAR,Atualizado
1793-8236,International Journal of Engineering and Technology (IJET),B3,ENGENHARIAS II,Atualizado
1472-8915,International Journal of Engineering Intelligent Systems for Electrical Engineering and Communications (1997),B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
2152-4157,International Journal of Engineering Research & Innovation,B3,ENGENHARIAS I,Atualizado
2250-3676,International Journal of Engineering Science & Advanced Technology,B3,ENGENHARIAS III,Atualizado
1756-8463,International Journal of Environmental Engineering (Print),B3,ENGENHARIAS I,Atualizado
0020-7233,International Journal of Environmental Studies,B3,INTERDISCIPLINAR,Atualizado
0020-7233,International Journal of Environmental Studies,B3,ENGENHARIAS II,Atualizado
1466-2132,International Journal of Environmental Technology and Management,B3,ENGENHARIAS III,Atualizado
1743-4955,International Journal of Environment and Health (Print),B3,INTERDISCIPLINAR,Atualizado
1478-9868,International Journal of Environment and Waste Management (Online),B3,ENGENHARIAS II,Atualizado
1478-9876,International Journal of Environment and Waste Management (Print),B3,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
1478-9876,International Journal of Environment and Waste Management (Print),B3,ENGENHARIAS II,Atualizado
1439-9776,International Journal of Fluid Power,B3,ENGENHARIAS IV,Atualizado
2166-5168,International Journal of Food Science and Nutrition Engineering,B3,INTERDISCIPLINAR,Atualizado
1365-2621,International Journal of Food Science & Technology (Online),B3,ENGENHARIAS II,Atualizado
0169-2070,International Journal of Forecasting,B3,ENGENHARIAS IV,Atualizado
1740-2816,International Journal of Foresight and Innovation Policy (Print),B3,ENGENHARIAS II,Atualizado
1292-7775,International Journal of Forming Processes,B3,ENGENHARIAS II,Atualizado
0020-7276,International Journal of Game Theory (Print),B3,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
0976-4380,International Journal of Geomatics and Geosciences,B3,ENGENHARIAS III,Atualizado
2156-8359,International Journal of Geosciences,B3,INTERDISCIPLINAR,Atualizado
2156-8359,International Journal of Geosciences,B3,ENGENHARIAS I,Atualizado
0954-7118,International Journal of Global Energy Issues,B3,ENGENHARIAS IV,Atualizado
1555-3396,International Journal of Healthcare Information Systems and Informatics,B3,ENGENHARIAS IV,Atualizado
1476-072X,International Journal of Health Geographics,B3,ENGENHARIAS IV,Atualizado
1740-0562,International Journal of High Performance Computing and Networking (Print),B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1751-6528,International Journal of High Performance Systems Architecture (Print),B3,ENGENHARIAS IV,Atualizado
1448-5869,International Journal of Hybrid Intelligent Systems,B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
2042-7816,International Journal of Hydrology Science and Technology,B3,ENGENHARIAS I,Atualizado
1748-5037,International Journal of Industrial and Systems Engineering (Print),B3,ENGENHARIAS III,Atualizado
1748-5037,International Journal of Industrial and Systems Engineering (Print),B3,INTERDISCIPLINAR,Atualizado
1550-1876,International Journal of Information and Communication Technology Education,B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1550-1876,International Journal of Information and Communication Technology Education,B3,ENGENHARIAS IV,Atualizado
1550-1876,International Journal of Information and Communication Technology Education,B3,INTERDISCIPLINAR,Atualizado
1741-5179,International Journal of Information Technology and Management (Online),B3,ENGENHARIAS IV,Atualizado
1751-6498,International Journal of Innovative Computing and Applications (Online),B3,ENGENHARIAS IV,Atualizado
1751-648X,International Journal of Innovative Computing and Applications (Print),B3,INTERDISCIPLINAR,Atualizado
1751-648X,International Journal of Innovative Computing and Applications (Print),B3,ENGENHARIAS IV,Atualizado
1466-6049,International Journal of Inorganic Materials,B3,ENGENHARIAS II,Atualizado
1756-378X,International Journal of Intelligent Computing and Cybernetics (Print),B3,ENGENHARIAS IV,Atualizado
2141-2537,International Journal of Library and Information Science,B3,INTERDISCIPLINAR,Atualizado
2250-0480,International Journal of Lifescience and Pharma Research,B3,ENGENHARIAS III,Atualizado
1742-7967,International Journal of Logistics Systems and Management (Print),B3,ENGENHARIAS III,Atualizado
1403-2147,International Journal of Low Energy and Sustainable Buildings (Online),B3,ENGENHARIAS I,Atualizado
1477-6545,International Journal of Low Radiation,B3,ENGENHARIAS II,Atualizado
1477-6545,International Journal of Low Radiation,B3,ENGENHARIAS III,Atualizado
1477-6545,International Journal of Low Radiation,B3,INTERDISCIPLINAR,Atualizado
1741-9190,International Journal of Low Radiation (Online),B3,ENGENHARIAS II,Atualizado
1793-8430,International Journal of Machine Consciousness,B3,ENGENHARIAS IV,Atualizado
1748-5711,International Journal of Machining and Machinability of Materials (Print),B3,ENGENHARIAS IV,Atualizado
1462-4621,International Journal of Management and Decision Making,B3,ENGENHARIAS III,Atualizado
1368-2148,International Journal of Manufacturing Technology and Management,B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1368-2148,International Journal of Manufacturing Technology and Management,B3,ENGENHARIAS III,Atualizado
1368-2148,International Journal of Manufacturing Technology and Management,B3,ENGENHARIAS IV,Atualizado
1960-6206,International Journal of Material Forming,B3,ENGENHARIAS II,Atualizado
1960-6214,International Journal of Material Forming (Online),B3,ENGENHARIAS II,Atualizado
2166-5400,International Journal of Materials Engineering,B3,ENGENHARIAS I,Atualizado
1998-0159,International Journal of Mathematics and Computers in Simulation,B3,ENGENHARIAS I,Atualizado
1998-4448,International Journal of Mechanics,B3,INTERDISCIPLINAR,Atualizado
1753-1039,International Journal of Mechatronics and Manufacturing Systems (Print),B3,ENGENHARIAS II,Atualizado
1744-2621,"International Journal of Metadata, Semantics and Ontologies (Print)",B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1741-8410,International Journal of Microstructure and Materials Properties (Print),B3,ENGENHARIAS IV,Atualizado
1982-6036,International Journal of Modeling and Simulation for the Petroleum Industry (Impresso),B3,ENGENHARIAS I,Atualizado
1982-6036,International Journal of Modeling and Simulation for the Petroleum Industry (Impresso),B3,INTERDISCIPLINAR,Atualizado
1982-6036,International Journal of Modeling and Simulation for the Petroleum Industry (Impresso),B3,ENGENHARIAS II,Atualizado
1982-6028,International Journal of Modeling and Simulation for the Petroleum Industry (Online),B3,INTERDISCIPLINAR,Atualizado
1746-6172,"International Journal of Modelling, Identification and Control (Print)",B3,INTERDISCIPLINAR,Atualizado
1746-6172,"International Journal of Modelling, Identification and Control (Print)",B3,ENGENHARIAS II,Atualizado
0217-751X,International Journal of Modern Physics A,B3,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
0218-2718,International Journal of Modern Physics D,B3,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
1793-5350,International Journal of Nanoscience,B3,ENGENHARIAS IV,Atualizado
1947-928X,International Journal of Natural Computing Research,B3,INTERDISCIPLINAR,Atualizado
1470-9503,International Journal of Networking and Virtual Organisations,B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1470-9503,International Journal of Networking and Virtual Organisations,B3,ENGENHARIAS III,Atualizado
1470-9503,International Journal of Networking and Virtual Organisations,B3,ENGENHARIAS IV,Atualizado
1470-9503,International Journal of Networking and Virtual Organisations,B3,INTERDISCIPLINAR,Atualizado
1099-1190,International Journal of Network Management (Online),B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1055-7148,International Journal of Network Management (Print),B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1816-353X,International Journal of Network Security (Print),B3,ENGENHARIAS IV,Atualizado
1749-3897,International Journal of Nonlinear Science,B3,ENGENHARIAS III,Atualizado
1741-6361,"International Journal of Nuclear Energy, Science and Technology (Print)",B3,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
1741-6361,"International Journal of Nuclear Energy, Science and Technology (Print)",B3,ENGENHARIAS IV,Atualizado
1742-4186,"International Journal of Nuclear Governance, Economy and Ecology (Print)",B3,ENGENHARIAS I,Atualizado
1479-5418,International Journal of Nuclear Knowledge Management (Online),B3,ENGENHARIAS II,Atualizado
1479-540X,International Journal of Nuclear Knowledge Management (Print),B3,ENGENHARIAS II,Atualizado
1793-0421,International Journal of Number Theory,B3,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
1861-2121,International Journal of Online Engineering,B3,ENGENHARIAS III,Atualizado
1861-2121,International Journal of Online Engineering,B3,ENGENHARIAS IV,Atualizado
1868-1646,international journal of online engineering (IJOE),B3,ENGENHARIAS IV,Atualizado
1745-7645,International Journal of Operational Research (Print),B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1082-1910,International Journal of Operations and Quantitative Management,B3,ENGENHARIAS I,Atualizado
1943-1813,International Journal of Organizational Innovation,B3,INTERDISCIPLINAR,Atualizado
1744-5760,"International Journal of Parallel, Emergent and Distributed Systems (Print)",B3,ENGENHARIAS IV,Atualizado
1464-8164,International Journal of Pavement Engineering & Asphalt Technology,B3,ENGENHARIAS II,Atualizado
1464-8164,International Journal of Pavement Engineering & Asphalt Technology,B3,ENGENHARIAS I,Atualizado
1871-4048,International Journal of Pediatric Otorhinolaryngology. Extra,B3,ENGENHARIAS IV,Atualizado
0973-1318,International Journal of Performability Engineering,B3,ENGENHARIAS I,Atualizado
1110-662X,International Journal of Photoenergy (Print),B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
2154-3216,International Journal of Poisonous Plant Research,B3,INTERDISCIPLINAR,Atualizado
1682-8356,International Journal of Poultry Science,B3,ENGENHARIAS II,Atualizado
1555-1431,International Journal of Probiotics & Prebiotics,B3,ENGENHARIAS I,Atualizado
1477-9056,International Journal of Product Development (Print),B3,ENGENHARIAS III,Atualizado
0263-7863,International Journal of Project Management,B3,ENGENHARIAS II,Atualizado
1311-8080,International Journal of Pure and Applied Mathematics,B3,ENGENHARIAS IV,Atualizado
0265-671X,International Journal of Quality and Reliability Management,B3,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
0020-7608,International Journal of Quantum Chemistry,B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
0020-7608,International Journal of Quantum Chemistry,B3,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
0219-7499,International Journal of Quantum Information,B3,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
1687-7195,International Journal of Reconfigurable Computing (Print),B3,ENGENHARIAS IV,Atualizado
2251-7715,International Journal of Recycling of Organic Waste in Agric,B3,ENGENHARIAS I,Atualizado
0958-0611,International Journal of Refractory Metals & Hard Materials,B3,ENGENHARIAS III,Atualizado
0958-0611,International Journal of Refractory Metals & Hard Materials,B3,ENGENHARIAS IV,Atualizado
2076-734X,International Journal of Research and Reviews in Applied Sciences,B3,ENGENHARIAS III,Atualizado
1466-8297,International Journal of Risk Assessment and Management,B3,ENGENHARIAS IV,Atualizado
1023-621X,International Journal of Rotating Machinery (Print),B3,ENGENHARIAS III,Atualizado
2221-8386,International Journal of Science and Advanced Technology,B3,ENGENHARIAS III,Atualizado
2251-8843,International Journal of Science and Engineering Investigations,B3,ENGENHARIAS I,Atualizado
1744-2370,International Journal of Services and Operations Management (Print),B3,ENGENHARIAS IV,Atualizado
1744-2370,International Journal of Services and Operations Management (Print),B3,INTERDISCIPLINAR,Atualizado
1744-2370,International Journal of Services and Operations Management (Print),B3,ENGENHARIAS III,Atualizado
1473-8031,"International Journal of Simulation: Systems, Science & Technology (Print)",B3,ENGENHARIAS IV,Atualizado
1473-8031,"International Journal of Simulation: Systems, Science & Technology (Print)",B3,ENGENHARIAS II,Atualizado
1473-8031,"International Journal of Simulation: Systems, Science & Technology (Print)",B3,INTERDISCIPLINAR,Atualizado
1758-7328,International Journal of Structural Engineering,B3,ENGENHARIAS I,Atualizado
1743-7601,International Journal of Sustainable Development and Planning: encouraging the unified approach to achieve sustainability,B3,ENGENHARIAS III,Atualizado
1743-761X,International Journal of Sustainable Development and Planning (Online),B3,ENGENHARIAS III,Atualizado
0975-6809,International Journal of Systems Assurance Engineering and Management,B3,ENGENHARIAS IV,Atualizado
1753-1950,"International Journal of Technological Learning, Innovation and Development (Online)",B3,ENGENHARIAS III,Atualizado
1474-2748,International Journal of Technology Management & Sustainable Development,B3,ENGENHARIAS I,Atualizado
1530-5058,International Journal of Testing,B3,INTERDISCIPLINAR,Atualizado
0219-0249,International Journal of Theoretical and Applied Finance,B3,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
2146-1511,International Journal of Thermodynamics,B3,ENGENHARIAS III,Atualizado
0972-9976,International Journal of Tomography & Statistics,B3,ENGENHARIAS III,Atualizado
0218-4885,"International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems",B3,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
1351-7848,International Journal of Vehicle Design. Heavy Vehicle Systems,B3,ENGENHARIAS III,Atualizado
1477-8394,International Journal of Web Based Communities (Print),B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1477-8394,International Journal of Web Based Communities (Print),B3,INTERDISCIPLINAR,Atualizado
1477-8394,International Journal of Web Based Communities (Print),B3,ENGENHARIAS IV,Atualizado
1744-0084,International Journal of Web Information Systems (Print),B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1744-0084,International Journal of Web Information Systems (Print),B3,INTERDISCIPLINAR,Atualizado
0218-2130,International Journal on Artificial Intelligence Tools,B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1469-0268,International Journal on Computational Intelligence and Applications,B3,ENGENHARIAS IV,Atualizado
1432-5012,International Journal on Digital Libraries (Print),B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
0219-8770,International Journal on Management of Innovation & Technology,B3,INTERDISCIPLINAR,Atualizado
1433-2779,International Journal on Software Tools for Technology Transfer (Print),B3,ENGENHARIAS III,Atualizado
2319-183X,International Refereed Journal of Engineering and Science (IRJES),B3,ENGENHARIAS III,Atualizado
2035-1763,International Review of Chemical Engineering - Rapid Communications (IRECHE),B3,ENGENHARIAS II,Atualizado
2035-1755,International Review of Chemical Engineering (Testo Stampato),B3,INTERDISCIPLINAR,Atualizado
1057-5219,International Review of Financial Analysis,B3,ENGENHARIAS IV,Atualizado
1970-8734,International Review of Mechanical Engineering (Testo Stampato),B3,ENGENHARIAS II,Atualizado
1974-9821,International Review on Modelling and simulations,B3,ENGENHARIAS IV,Atualizado
0115-0944,International Rice Research Newsletter,B3,INTERDISCIPLINAR,Atualizado
2090-4371,International Scholarly Research Network Dentistry,B3,INTERDISCIPLINAR,Atualizado
0306-400X,International Water Power & Dam Construction,B3,ENGENHARIAS I,Atualizado
1750-0036,Internation Journal of Intercultural Information Management,B3,ENGENHARIAS I,Atualizado
1679-9844,InterScience Place,B3,ENGENHARIAS II,Atualizado
1679-1347,Inventário (Universidade Federal da Bahia. Online),B3,INTERDISCIPLINAR,Atualizado
1741-5985,Inverse Problems in Science and Engineering (Online),B3,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
1741-5977,Inverse Problems in Science & Engineering (Print),B3,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
1757-8981,IOP Conference Series: Materials Science and Engineering (Print),B3,INTERDISCIPLINAR,Atualizado
1026-695X,IPGRI Newsletter for Europe,B3,INTERDISCIPLINAR,Atualizado
1547-0423,Iron & Steel Technology,B3,ENGENHARIAS II,Atualizado
1808-3765,Irriga (UNESP. CD-ROM),B3,ENGENHARIAS III,Atualizado
2090-6080,ISRN Materials Science,B3,ENGENHARIAS II,Atualizado
2090-6080,ISRN Materials Science,B3,ENGENHARIAS I,Atualizado
2090-6099,ISRN Materials Science (On line),B3,ENGENHARIAS II,Atualizado
1984-2902,iSys: Revista Brasileira de Sistemas de Informação,B3,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1984-2902,iSys: Revista Brasileira de Sistemas de Informação,B3,INTERDISCIPLINAR,Atualizado
1122-6714,Italian Journal of Anatomy and Embryology,B3,INTERDISCIPLINAR,Atualizado
1126-8042,Italian journal of pure and applied mathematics,B3,ENGENHARIAS IV,Atualizado
0102-115X,ITEM. Irrigação e Tecnologia Moderna,B3,ENGENHARIAS I,Atualizado
1342-6893,ITE Technical Report,B3,ENGENHARIAS III,Atualizado
1520-9202,IT Professional,B3,ENGENHARIAS I,Atualizado
1342-2618,Japan Industrial Management Association,B3,ENGENHARIAS III,Atualizado
1529-7853,JASA Express Letters,B3,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
